Asset label,Serial Number,Tag Mac Address,Department,Type,Status
asset106,XCCIYGZ,C1:43:BC:85:A4:CF,Sales,Furniture,In Use
asset107,0HR90Y8,DE:9C:40:5C:D1:F9,Sales,Devices,In Use
asset108,T6HDEK7,54:15:D7:1A:CB:AC,R&D,Furniture,Available
asset109,E98TDX6,E0:83:DA:5D:8F:3D,HR,Furniture,Out of Service
asset110,PI4JMUK,E4:44:E8:22:F2:A1,Finance,Software,In Use
asset111,ZIAMYV3,05:64:49:68:7B:AB,Sales,Devices,Available
asset112,FCLO3MB,E9:5D:0F:5A:93:F0,Finance,Devices,Available
asset113,QHSHHZ1,8D:FC:52:0E:80:D6,Sales,Software,In Use
asset114,FQEM7PA,6C:69:EB:1A:5F:E1,Sales,Devices,In Use
asset115,0Y1AM23,AE:1E:5D:BA:DC:85,R&D,Devices,In Use
asset116,KQ8E1SI,54:86:01:12:FC:50,Finance,Software,Out of Service
asset117,7I8UGS0,0E:E8:CE:1D:98:31,Finance,Software,Available
asset118,EMMPG16,F2:D5:43:1D:ED:26,R&D,Devices,In Use
asset119,WEUH44S,3E:E1:49:43:AE:80,HR,Software,Available
asset120,QBVX7O7,E5:CA:C3:DF:23:28,Sales,Furniture,Available
asset121,72UPLLE,50:18:32:B4:BB:45,HR,Furniture,Out of Service
asset122,JF6BX2H,37:A9:88:F1:63:43,R&D,Furniture,In Use
asset123,U9MUZHI,72:D4:AD:EC:77:06,R&D,Devices,In Use
asset124,SDE17LC,90:AE:B2:95:02:2E,R&D,Software,Out of Service
asset125,HDS75MG,79:C3:B4:48:AF:86,Marketing,Devices,In Use
asset126,3XH3ZN6,91:71:D7:21:44:68,Marketing,Furniture,In Use
asset127,N856ELY,39:9B:81:DF:35:1D,R&D,Devices,In Use
asset128,MUPXLFQ,76:10:79:07:D0:CA,R&D,Devices,Available
asset129,FYTVFGG,4E:AF:8B:F5:D7:13,HR,Software,In Use
asset130,JAGPF3I,E2:7A:57:AA:1F:59,Finance,Software,Out of Service
asset131,4VLLJX2,0B:3D:61:05:DA:36,Sales,Software,In Use
asset132,C0MBA2R,6A:8B:14:D1:E7:4A,Marketing,Software,Available
asset133,A9UU73T,1A:88:97:19:73:38,Sales,Devices,In Use
asset134,H0R9ZCB,2B:7E:81:6B:29:56,HR,Software,Available
asset135,XE6UZDL,1F:D2:44:61:57:16,Marketing,Furniture,Available
asset136,GDSYJF1,68:9D:F0:96:F8:0D,R&D,Furniture,Available
asset137,P2FYS9X,43:E2:E3:01:7D:58,R&D,Software,In Use
asset138,60JF96B,89:8B:FC:4E:51:56,R&D,Furniture,In Use
asset139,Z7F3R75,E7:D0:0E:D5:BA:25,Finance,Devices,Available
asset140,MT54LH3,3A:21:BF:12:8F:D0,Sales,Devices,Available
asset141,SRQ3CN1,75:03:F8:BF:C6:7A,Marketing,Devices,Out of Service
asset142,EYNIXHX,D2:BE:AF:9E:07:9A,Finance,Software,In Use
asset143,VSKGFM8,36:0F:2E:9B:26:F2,Finance,Software,Available
asset144,DPF0WXL,F0:AE:64:A4:3B:D6,Sales,Software,Out of Service
asset145,VJ3NUV9,C7:37:DC:1C:E6:BD,Sales,Furniture,Out of Service
asset146,53TRCAG,26:8B:85:9A:81:AA,Sales,Devices,Out of Service
asset147,BNCCGIV,F7:CF:AD:13:1A:31,Sales,Software,Out of Service
asset148,RG55V3Z,14:91:BC:6E:89:1C,R&D,Software,In Use
asset149,TNMHY9T,49:E4:8C:5E:01:F2,HR,Furniture,Available
asset150,W2OIDR9,79:A4:3A:73:AC:57,R&D,Furniture,Available
asset151,NXPWQZ0,E3:14:41:6E:DF:54,R&D,Devices,In Use
asset152,VSX91XQ,42:A5:4B:B1:41:AE,HR,Furniture,Available
asset153,N4WH8MF,6B:A8:4A:45:EA:A7,R&D,Furniture,In Use
asset154,BQI6QIG,D3:3B:52:E3:74:08,R&D,Furniture,Out of Service
asset155,TA2AAAI,52:DB:D4:4C:56:4B,Finance,Furniture,In Use
asset156,VFL7M6Q,81:0E:C0:53:EF:2F,R&D,Software,Available
asset157,LBBF0AL,2C:FB:7C:2A:B4:3F,Finance,Furniture,In Use
asset158,B8GYO5J,D6:B2:30:FB:85:20,R&D,Furniture,In Use
asset159,K6BJDJL,67:C8:2F:87:67:80,Marketing,Software,In Use
asset160,ENLNHN3,0B:19:8D:4F:89:82,R&D,Software,Out of Service
asset161,12670B0,AE:60:E1:F5:5A:A9,Sales,Devices,Available
asset162,DEQ64OU,42:1D:E5:47:DB:C7,R&D,Software,Available
asset163,4P2BI4X,8F:D8:25:2C:DE:D7,Finance,Software,In Use
asset164,A3F6G4F,E0:02:DD:30:70:69,Sales,Software,Available
asset165,EZYBJH0,A4:56:96:2A:68:B2,R&D,Software,Out of Service
asset166,WWELVD5,FE:E8:40:39:99:76,R&D,Furniture,Available
asset167,936C3B9,E0:E7:2A:34:38:E1,Finance,Furniture,Out of Service
asset168,MZ0YZYT,B3:21:45:A8:1C:BA,HR,Furniture,Available
asset169,N1IZZJM,4B:06:89:E7:B2:CC,Marketing,Devices,Out of Service
asset170,QSLY9UK,1D:88:A9:EF:D3:6D,Sales,Software,Out of Service
asset171,B2S2L3U,27:A0:F6:43:70:8F,HR,Software,Available
asset172,0JYA4T6,10:87:2D:7D:C5:38,R&D,Devices,Out of Service
asset173,63HJIDX,88:CC:1A:1C:A9:8C,Finance,Furniture,Out of Service
asset174,JLDTLM2,B5:17:B7:CF:AC:CE,Marketing,Software,In Use
asset175,STQHEUO,CE:54:E8:FF:22:EB,Finance,Software,In Use
asset176,AJLIU5D,2D:11:03:D5:AC:E1,Sales,Furniture,In Use
asset177,RU5IFZH,35:FC:D8:A2:5B:F0,Finance,Devices,Available
asset178,XM6LUWB,92:BA:B5:25:4C:BF,HR,Software,Available
asset179,I0UAZMP,AF:35:5A:82:2B:0A,R&D,Devices,Out of Service
asset180,CMDRA6P,D1:65:B7:C5:1D:A2,Finance,Furniture,Out of Service
asset181,RIO4HXC,B6:4E:18:85:C8:3E,Finance,Devices,Available
asset182,5AUPVGP,48:3E:0D:00:26:DA,Marketing,Software,Available
asset183,DVU8F9L,53:54:8D:37:1D:99,Marketing,Devices,In Use
asset184,IYSFM4Y,5B:42:28:98:39:FE,Sales,Devices,Available
asset185,0HGXXHW,06:AA:E7:99:50:D7,R&D,Devices,Available
asset186,505O7TW,A0:22:CA:46:67:AD,Marketing,Software,Available
asset187,JQZ1YA7,AD:BE:BA:86:93:0E,Marketing,Software,Available
asset188,83UUVYJ,3B:84:9D:8A:93:4E,HR,Furniture,Out of Service
asset189,L08FMUX,96:65:1C:5D:6B:D8,HR,Devices,Available
asset190,S757D5B,A4:5B:F6:D2:06:33,HR,Software,Available
asset191,VW4VDEU,1F:8F:BB:50:DB:2D,HR,Furniture,In Use
asset192,9SEZGIX,7C:5A:94:41:BA:CF,Finance,Furniture,Out of Service
asset193,IFULOMS,08:FE:6F:A2:68:34,HR,Furniture,In Use
asset194,RI2BZDC,C6:EC:72:75:A8:D0,Finance,Devices,In Use
asset195,TSJQ7QZ,1D:6C:93:3F:44:35,Marketing,Devices,In Use
asset196,7I5K6AC,30:FB:B4:3C:DA:EF,R&D,Furniture,Out of Service
asset197,GARY3TU,E6:23:FC:DF:AA:5B,HR,Devices,Available
asset198,3C5SAXD,6F:62:86:3A:F1:D8,R&D,Software,Out of Service
asset199,6YQ8I3O,52:F4:1C:B0:63:B5,Finance,Software,Available
asset200,UB4F9P0,BD:65:48:97:CA:9F,HR,Furniture,Out of Service
asset201,UJDE2WQ,6D:BC:4E:6C:04:3C,Marketing,Devices,Out of Service
asset202,53HGSMX,34:35:B0:4D:BC:20,Marketing,Furniture,Available
asset203,2O46G5V,CC:67:AE:EE:5B:34,Marketing,Furniture,In Use
asset204,I83ZW3U,2A:51:71:42:30:20,Finance,Devices,Available
asset205,YMOX5GO,0C:66:0A:0D:B9:98,Marketing,Furniture,In Use
asset206,CPI25LA,16:31:13:6F:24:17,Finance,Furniture,Available
asset207,CJGEBI8,4E:18:0F:C2:78:31,R&D,Software,Available
asset208,91FMCPH,DF:A8:C4:32:75:DD,Sales,Devices,Out of Service
asset209,32QWKZ8,EE:6D:F2:46:E1:79,R&D,Devices,Out of Service
asset210,D1UMELX,F0:ED:06:5A:62:5F,HR,Software,Out of Service
asset211,CR32LAH,C3:6A:E1:ED:2F:E3,HR,Furniture,Available
asset212,7GKKEB4,AB:95:AC:C4:E4:38,Marketing,Devices,In Use
asset213,5OPDZ7E,C3:1E:A9:11:E0:07,R&D,Furniture,Available
asset214,KU7UFKG,56:4F:F6:AB:A2:12,Marketing,Furniture,In Use
asset215,B96GIXD,5E:0F:B7:17:DB:68,Sales,Furniture,Available
asset216,VCZHRCP,3A:08:02:AC:EE:BE,Marketing,Furniture,Out of Service
asset217,0FTZ2YU,5D:46:79:97:9E:BF,HR,Software,Available
asset218,7FM1TBY,D5:28:14:D7:B1:8B,Finance,Software,Out of Service
asset219,2OM2GWG,F9:58:9F:18:C7:79,Sales,Devices,Out of Service
asset220,W6BWT4E,37:C8:CD:86:61:BB,Finance,Devices,In Use
asset221,FQVKAES,F8:0C:1F:07:B8:19,Finance,Devices,Out of Service
asset222,78HXANT,02:EF:11:41:94:11,R&D,Software,In Use
asset223,NWI9C9L,0E:0F:62:46:15:00,Sales,Furniture,Available
asset224,SAIFE8B,12:65:B2:1E:CC:25,R&D,Furniture,Available
asset225,HEAXIPI,0E:B0:90:FB:8F:B5,HR,Software,Available
asset226,E22F5OL,1C:4B:37:42:DE:CC,R&D,Furniture,In Use
asset227,U2KQW22,EE:26:25:1A:D5:AF,HR,Furniture,In Use
asset228,BEJMU2L,1D:B5:75:7E:70:A9,Marketing,Devices,Out of Service
asset229,C986U7R,CE:45:61:96:5C:18,Marketing,Devices,Out of Service
asset230,0J1947K,84:4C:6E:95:CD:61,Marketing,Software,Available
asset231,3DZ2M2D,5E:6B:94:D0:12:7F,Finance,Devices,Out of Service
asset232,YQPILJD,C8:53:F7:27:7B:41,Marketing,Furniture,In Use
asset233,AJXMM1B,97:EC:2B:44:89:F8,Sales,Furniture,In Use
asset234,O1BBJ0O,08:77:4D:53:85:5B,Finance,Software,Out of Service
asset235,S8FTM9E,6D:5C:22:7F:13:FA,Marketing,Software,In Use
asset236,VUKAD9U,D4:B8:74:60:9A:8A,HR,Furniture,Out of Service
asset237,QPHNEE1,B8:26:98:98:DF:A4,Marketing,Software,Available
asset238,4Z1NTVQ,79:2A:AD:59:97:DD,Finance,Devices,Out of Service
asset239,ISUUSRN,B9:E2:6C:30:A1:96,Finance,Software,Available
asset240,UJ5MK1I,2E:2F:42:75:23:62,Finance,Furniture,Available
asset241,ND3BYHS,AB:8D:B0:80:FB:26,R&D,Furniture,In Use
asset242,5LPYKYM,89:D7:76:64:28:0C,HR,Software,Available
asset243,OCCWLL1,38:95:29:D7:31:A2,HR,Furniture,In Use
asset244,C1E80L5,5E:B6:F1:15:D9:5B,Finance,Software,Out of Service
asset245,TYEFBDG,F8:7B:0C:65:EA:AC,R&D,Software,Out of Service
asset246,0EK2OJN,B3:3F:10:2D:CD:70,Finance,Devices,Out of Service
asset247,P0PN9YH,CF:D9:C1:AD:51:FC,Marketing,Devices,Out of Service
asset248,5QQIPMH,80:F8:5D:BA:37:AE,Finance,Devices,Out of Service
asset249,Q9U5ZXI,02:20:7B:4A:BE:3F,HR,Software,Out of Service
asset250,U5THVJG,61:21:77:44:6C:64,Marketing,Devices,In Use
asset251,IXXLQIB,65:3C:C4:61:C0:FC,Sales,Furniture,Available
asset252,HY9BZH8,89:25:23:E6:CC:11,Sales,Software,Available
asset253,5M3XF6L,42:60:99:FF:88:49,R&D,Devices,Available
asset254,K5F0Q8P,DF:3A:EE:A5:6D:46,HR,Devices,In Use
asset255,DXQLZAQ,C4:53:EF:19:E3:10,Sales,Furniture,Out of Service
asset256,E7HHN02,C6:7F:03:15:21:61,Marketing,Software,Available
asset257,AJ4F3OZ,A6:94:E9:D5:5F:F9,Finance,Devices,Available
asset258,48WQKOU,91:01:EF:A9:46:29,Sales,Software,In Use
asset259,PTVRC76,D6:20:4F:5E:5B:59,R&D,Devices,In Use
asset260,SKVYU9T,1B:6A:77:BD:68:CD,Sales,Software,Available
asset261,UP2PMXE,2A:D6:EC:B2:A2:BA,Marketing,Devices,In Use
asset262,JMA4M4H,0D:DE:FA:D3:A8:E9,Sales,Devices,In Use
asset263,FXSRSBD,02:44:78:B9:58:14,R&D,Software,Out of Service
asset264,NKQJMEN,17:0B:5E:15:45:D9,R&D,Software,Out of Service
asset265,319K8HI,70:21:D7:E5:DF:FE,Finance,Furniture,Out of Service
asset266,SAWCZAN,0B:9C:28:D3:79:D9,R&D,Software,Out of Service
asset267,403YCNG,40:7C:80:F8:F6:0E,Finance,Software,Out of Service
asset268,MK0QOF2,0D:EB:BF:68:98:D2,Finance,Software,Out of Service
asset269,26JQ969,A2:13:0D:1C:B4:58,Finance,Furniture,In Use
asset270,0A1HE3P,D4:4E:F8:04:AB:D0,R&D,Software,In Use
asset271,HGG5KUD,34:16:7D:E3:7A:9B,Finance,Software,In Use
asset272,MJHSERD,72:64:74:18:60:37,Marketing,Software,In Use
asset273,SVQ4XM8,63:7F:E9:BA:5A:6C,R&D,Software,Out of Service
asset274,E0MLM22,BD:0F:2F:B3:D0:69,Sales,Devices,Available
asset275,9WF4WJ2,C9:32:65:79:75:74,Marketing,Furniture,Available
asset276,IXZGK9Q,68:57:56:D2:99:8A,R&D,Furniture,In Use
asset277,T0OIJ1V,ED:24:A6:B8:41:30,Marketing,Furniture,Available
asset278,UQMSYRE,53:53:9C:8C:D9:72,HR,Furniture,In Use
asset279,VFGESHD,35:64:48:21:A9:6F,Sales,Furniture,Out of Service
asset280,3O97R8R,35:43:D2:72:D4:2E,Sales,Furniture,Out of Service
asset281,RX26444,EF:BF:2F:F1:1E:16,Marketing,Devices,In Use
asset282,1VLN4GX,55:BF:73:C7:F0:08,R&D,Software,Available
asset283,6MF4R8P,79:46:2E:7D:08:6D,R&D,Furniture,Out of Service
asset284,0PTC48T,B8:4B:3D:51:DF:F2,Marketing,Devices,In Use
asset285,TPWX3GB,FB:A6:51:5C:56:0A,Finance,Devices,In Use
asset286,CK4YV1D,6B:F6:E0:98:90:F4,Finance,Devices,In Use
asset287,CF1GB3H,D4:C6:A4:94:22:AA,Finance,Software,Out of Service
asset288,JWI5WDO,35:7E:D6:EA:A6:F7,Sales,Furniture,Available
asset289,M4EZXN2,06:83:36:83:30:37,HR,Software,Available
asset290,MB1M8Y2,4A:EE:B4:DF:5D:4A,R&D,Software,Out of Service
asset291,C9CXUU7,0A:0E:21:30:F8:7D,Marketing,Furniture,In Use
asset292,44CEX75,A2:D1:78:D3:F9:08,HR,Devices,Out of Service
asset293,DQ4SMW2,E8:54:77:69:1A:F2,R&D,Software,Available
asset294,4EV70YP,52:D9:A6:62:42:39,R&D,Devices,Available
asset295,GQ5OOAV,00:52:44:23:2B:1D,Marketing,Software,Out of Service
asset296,WLHL64V,B9:AB:07:36:A2:66,R&D,Furniture,In Use
asset297,LISC4MH,1B:4E:2E:83:E4:93,Finance,Software,Available
asset298,PRA5V5W,E2:E4:56:74:AD:1A,HR,Software,Available
asset299,36BRLWT,FC:F2:14:64:45:F6,Finance,Software,Out of Service
asset300,R9MKJNN,94:18:36:CF:9D:9C,Sales,Furniture,Out of Service
asset301,ECBDGJT,E4:79:4F:58:7A:52,R&D,Furniture,Out of Service
asset302,NO89Z7R,D5:FD:73:13:55:C2,R&D,Furniture,In Use
asset303,KBIH45Z,20:8B:95:CB:6C:06,Marketing,Furniture,Available
asset304,V603TEG,C6:6D:E4:62:9D:28,HR,Furniture,In Use
asset305,N3OMAO8,EB:9E:66:1C:46:BA,R&D,Furniture,In Use
asset306,Z48OZNS,56:33:FA:27:E2:F5,Marketing,Furniture,Available
asset307,HRMF5G1,4B:0E:6E:51:08:D4,HR,Devices,Available
asset308,61H0M1F,CF:7C:87:7D:78:A0,Marketing,Devices,Out of Service
asset309,2IRS7BF,93:E5:19:63:35:6A,Finance,Furniture,Available
asset310,YHJIF8U,90:4C:28:46:BA:F4,Sales,Software,In Use
asset311,YBOYEJX,83:3B:F3:F5:74:91,HR,Software,Available
asset312,XU4871M,8B:E0:1F:8D:32:FB,HR,Software,Available
asset313,2W2V06F,6B:D0:26:55:E4:C3,Sales,Furniture,Available
asset314,RQA8N1W,50:A1:B5:C1:8E:65,Finance,Devices,Available
asset315,0ICMW09,B3:E8:3F:3B:46:85,Sales,Devices,In Use
asset316,JTCOZ8M,3E:60:9A:30:93:87,Marketing,Furniture,Available
asset317,V9SJS2R,46:5D:AE:95:56:6E,Marketing,Devices,Out of Service
asset318,5Y7RHZF,46:88:0A:7F:2B:E3,R&D,Devices,In Use
asset319,RWKV1AI,28:E7:18:AC:18:09,Marketing,Devices,In Use
asset320,G5O35H3,14:15:33:1A:39:D0,Sales,Devices,Available
asset321,4QNLCKY,E5:93:76:82:7B:03,R&D,Software,Available
asset322,305GW8L,13:35:45:8F:AA:1B,Sales,Devices,In Use
asset323,RABNM7I,88:F1:EF:CB:0A:AF,HR,Software,In Use
asset324,PZ3MZ8N,78:1A:02:C5:5F:FB,Finance,Software,Out of Service
asset325,7G4ICS7,63:18:83:E3:36:74,R&D,Software,In Use
asset326,V4RYUOR,0B:6C:14:75:BD:CC,Sales,Software,In Use
asset327,9DI7C1K,4F:0D:8D:DD:74:50,Finance,Software,In Use
asset328,7A0W877,48:E9:24:55:CB:0B,HR,Software,In Use
asset329,M3E8JC0,F1:8C:C5:6F:4A:5B,Marketing,Devices,In Use
asset330,24JPE9X,F6:C9:7A:5F:64:4C,Sales,Devices,Available
asset331,I8Y5LSA,BE:BD:3D:E9:B8:7C,Finance,Devices,Out of Service
asset332,5FY8OJ9,3F:C8:55:9E:A5:0B,R&D,Devices,Available
asset333,MGDPPDK,33:F0:1A:41:E5:77,Sales,Software,Available
asset334,9MDXANP,55:DE:42:41:10:C7,Sales,Furniture,Available
asset335,44BO7CT,04:67:A9:F2:E9:E6,R&D,Furniture,In Use
asset336,Z26UMGN,0C:82:89:14:ED:9C,Finance,Devices,In Use
asset337,K1L07QZ,3E:AD:D6:52:06:5F,Sales,Software,Out of Service
asset338,IKR2KNW,03:5C:1C:5C:9C:1D,HR,Software,Out of Service
asset339,QPPMMMJ,AC:AB:3C:28:D1:8D,Sales,Devices,Out of Service
asset340,5UAOOVA,15:BD:97:9A:50:09,Sales,Furniture,Available
asset341,T5CFPHW,7E:80:35:B2:70:39,HR,Software,In Use
asset342,JJQPL8H,31:B7:AF:B9:D8:5B,Sales,Devices,Out of Service
asset343,DSTDA4I,16:0E:61:C6:4F:90,R&D,Furniture,In Use
asset344,C0Q0LUZ,D0:94:0B:73:44:01,Marketing,Devices,In Use
asset345,18FHUTK,B6:16:05:80:25:05,Finance,Software,In Use
asset346,0GQ9H9G,46:58:6A:14:1E:CA,Finance,Software,In Use
asset347,WEX3TO9,6E:E5:99:89:9F:21,Marketing,Furniture,Available
asset348,MOLEDSE,1F:F2:53:56:BD:04,HR,Furniture,In Use
asset349,2V9LGV2,90:12:16:B9:61:E4,Finance,Furniture,Out of Service
asset350,BBYCBJ2,55:AA:2B:42:33:FE,Sales,Furniture,Available
